"On February 1, a man dispatched the following letter to a mechanic:""My car has not been running very well lately. I'll pay you $275 if you will change the oil, replace the oil filter, and adjust the carburetors by February 10. ""The mechanic received the man's letter on February 3. That same day, he telephoned an auto supply company and ordered the necessary materials to perform the repair work. Two days later, the mechanic met the man at a party and this conversation took place:The man: ""Disregard the letter I sent you last week. ""The mechanic: ""No way, man, I already ordered the materials on from the auto supply company. ""The man: ""Sorry, but I sold my car yesterday, so forget the repair work. ""If the mechanic initiates suit for breach of contract, which of the following is the man's strongest argument that no enforceable contract was formed between the parties?",The mechanic had not completed performance before the man revoked his offer.,The man's offer could only be accepted by a return promise.,"Because the man made his offer by letter, the mechanic could accept only in the same manner.","Although the mechanic was preparing to perform the repair work, he had not begun the requested acts of acceptance when the man revoked his offer.",D
"A defendant is on trial for kidnapping. The victim has testified that one of the kidnappers referred to the other as ""Speed."" The prosecutor calls a jail employee to testify that, while the defendant was in jail awaiting trial, other inmates addressed the defendant as ""Speed."" Is the jail employee's testimony admissible?","No, because it is hearsay not within any exception. exception.","No, because it is substantially more prejudicial than probative.","Yes, as circumstantial evidence that the defendant was one of the kidnappers.","Yes, to corroborate the truthfulness of the victim.",A
"A senator, had been a state senator for three years. During that period of time, it had been his regular practice to stay at a hotel in the state's capital while the legislature was in session (namely from September through March). As a general rule, the senator stayed at the hotel each and every night during that seven-month period. When the senator checked into the hotel on September 1, 2007 for the 2007 2008 term, the hotel manager quoted the senator his usual senatorial discount rate of $50 per night. Although nothing was said regarding payment terms, the senator customarily paid the bill in weekly installments. During the months of September and October, he paid the hotel at the end of each week $350 plus tax and other accumulated expenses. On the last day of October, the senator made his usual weekly payment covering the rental period from October 25 to October 31. Then, on the morning of November 4 (before checkout time for that day), the senator decided to suddenly move out of the hotel and register at a new motel located two blocks away. He notified the manager at the hotel of his intent to check out and tendered a check for $150 plus tax and other incidental charges incurred from November 1 through November 3. When the manager noticed that the senator was paying only for three days, she remarked, ""You still owe us $200 plus tax for the rest of the week and $350 plus taxes for an additional week because you didn't give us a week's notice that you planned to vacate. "" The senator refused to pay the additional charges. If the hotel brings suit against the senator to recover for the unpaid balance, how many additional days lodging will he be required to pay for?",None.,Four.,Seven.,Eleven.,A
"The President announced that a newly created military rapid deployment force would be engaging in joint training exercises with the military forces in a foreign country. Following the President's announcement, Congress enacted a statute that unequivocally prohibited ""the U. S. Armed Forces from conducting military exercises with foreign military forces unless Congress has received notice of such intention to take such action at least three months before the joint military exercises become effective. ""This statute is most likely","constitutional, because the President, in this instance, has not been called by Congress into actual service as Commander-in-Chief.","constitutional, because of Congressional power under the War Powers Act.","unconstitutional, because of the President's authority to execute the laws of the United States.","unconstitutional, because of the President's authority as Commander-in-Chief of the Armed Forces.",A
"A witness is scheduled to testify in a criminal case. To prove that he was a juvenile on a given date, evidence is offered that on that date he was confined in a juvenile detention facility. If a party wished to argue that this evidence is hearsay, whom would he point to as the hearsay declarant?",The witness on the stand.,The party offering the evidence.,The juvenile authorities.,The witness.,C
"A homeowner entered into a written contract with a house painter to have his house painted for $10,000. The contract stated in part: ""It is agreed that the house painter will paint the house using off-white latex paint, and will finish the job within 30 days from the execution of this agreement. If the homeowner finds the completed job to be satisfactory, he will pay the house painter $10,000 within one week after the job is completed. ""Which of the following is the most accurate statement regarding the homeowner's contractual obligation to pay the house painter $10,000?","Payment of the $10,000 by the homeowner would be an express condition precedent to the house painter's duty of performance.","Payment of the $10,000 by the homeowner would be an express condition subsequent to the house painter's duty of performance.","The house painter's performance under the contract would be an express condition precedent to the homeowner's duty of payment of the $10,000.","The performances of the homeowner and the house painter were, in essence, concurrent conditions.",C
"A deed executed by a woman in 2001 conveyed a tract of land for a consideration of one dollar, receipt of which was acknowledged, ""to my friend for life, but if liquor is ever sold on the tract of land, then to my cousin and his heirs, and if for any reason the interest hereby conveyed to my cousin is not valid, then I reserve the right to re-enter the tract of land and take back my property. "" In 2004, the friend died intestate before the wheat he had planted could be harvested. Who is entitled to the proceeds of the crop?",The friend's heirs.,The cousin.,The woman.,Divided equally between the friend's heirs and the woman.,A
"During spring break, a private boarding school was deserted while students and teachers were away on vacation. A guidance counselor remained on campus because he was working on a research project. After working late one night, the counselor decided to enter the room of a student from a very wealthy family. The counselor was rummaging through the student's room looking for something valuable to steal. Under the bed, he noticed an expensive suitcase. The counselor opened the suitcase and found an express mail envelope. The counselor knew that the student's father often sent money to his son in express mail envelopes. The counselor opened the envelope and saw that it contained a large quantity of white powder, which he suspected to be heroin. The counselor telephoned the police, and an officer was dispatched to the school. The counselor handed the officer the envelope, which he transported to the police station. At the station house, the officer opened the envelope and sent a sampling of the substance to the police lab. Tests confirmed the substance to be heroin. The police did not secure a search warrant before confiscating and opening the envelope. The student was thereafter arrested and charged with unlawful possession of a controlled dangerous substance. The student's attorney has filed a motion to suppress the heroin from evidence. The motion will most likely be","granted, because the police should have secured a warrant before seizing the envelope.","granted, because the police should have secured a warrant before opening the envelope.","denied, because the search was conducted by a private party.","denied, because the counselor, as a school employee, was in loco parentis.",C
A state government enacted a law that prohibited the state's agencies from purchasing services or goods from and companies doing business with Cuba. The federal government at the time was implementing a thaw in relations with the Cuban government. The U.S. Congress passed a statute regarding various policies and dealings toward Cuba. A National Trade Council sued the state in federal court seeking an injunction and declaratory judgment that the state law toward Cuba was unconstitutional. 30 of the business entities that were discriminated against by the state were members of the council. Is the federal court likely to grant the declaratory judgment and declare the state law unconstitutional?,"No, the state law was consistent with the federal law and with federal policy on Cuba.","No, a state has the sovereign right to pass its own laws concerning its policies toward foreign countries.","Yes, the state law is unconstitutional because it denies equal protection to citizens of other states.","Yes, the state law is unconstitutional because it illegally interfered with the foreign affairs power of the federal government.",D
"Two men were told by the defendant that a medical devices company was now using the old warehouse on the river for storing its supply of defibrillators. Late one night, the two men broke into the warehouse and proceeded to load the large crates of defibrillators onto their truck. As they were leaving, one of the men inadvertently threw his cigarette butt into a refuse pile of old cardboard boxes and papers. Soon afterward, the refuse ignited into a small fire. Although the men had time to douse the fire without any danger to themselves, they did not do so. Instead, they fled. Meanwhile, the fire quickly spread, engulfing the entire warehouse in flames. If the defendant is later charged as a co-conspirator, in all likelihood he would be held responsible as",an accessory before the fact.,a principal in the second degree.,an accomplice.,not respbnsible.,D
"Police officers had probable cause to believe that drug dealing was routinely taking place in a particular room at a local motel. The motel manager authorized the officers to enter the room and provided them with a passkey. Without obtaining a warrant, the officers knocked on the room's door, announced their presence, and told the occupants that they would like to speak with them. The officers then heard yelling and repeated flushing of the toilet. They then used the passkey and entered the room, where they saw the occupants dumping drugs into the toilet. The occupants of the room were charged with drug dealing and have moved to suppress the drugs. Should the court grant the motion to suppress?","No, because exigent circumstances justified the officers' entry.","No, because the motel manager consented to the officers' entry.","Yes, because exigent circumstances cannot excuse the lack of a warrant.","Yes, because the officers cannot benefit from exigent circumstances that they created.",A
"There may be a substantial time period between contract formation and final completion of performance. Concerning these executory contracts, which of the following is the least correct?",A wholly executory contract is where only promises have been exchanged and there has been no performance by either party.,A partially executed contract means that one party has completed performance while the other party has only promised.,An executed contract exists when both parties have fully performed and no obligations remain.,A partially executed contract means that at least one party has begun performance.,B
"A husband and wife had a stormy relationship. The husband, who was an alcoholic, frequently beat his wife when he became drunk. One day, the husband had been drinking beer while watching football on television. After his favorite team lost a close game, the husband went into a violent rage. As he was storming around the apartment, he suddenly grabbed his wife and led her outside to their car. He then ordered her to get inside the vehicle. The husband was driving around aimlessly when he negligently collided with another car. The other driver, who was injured in the accident, brought suit against the husband to recover damages. Thereafter, the husband retained an attorney to represent him. At his first consultation with the attorney, the husband was accompanied by his wife. During the conference, the attorney's secretary took notes of the meeting. Two weeks later, the wife separated from the husband. She then hired a lawyer to represent her in a suit against the husband for battery and false imprisonment. At the trial between the husband and the other driver, the other driver's attorney calls the wife to testify. She proposes to testify that her husband was intoxicated at the time of the accident. Upon objection by the husband's attorney, the wife's proposed testimony will most likely be",admissible as a proper lay opinion.,"inadmissible, under the attorney-clientprivilege.","inadmissible, under the marital privilege.","inadmissible, because the wife is biased.",C
"An inexperienced bicycle rider took her new bike for a test run. At an intersection, she could not stop for a red light and went into the intersection, where she slipped off the bike. While attempting to remount it, a car coming into the intersection with a green light ran her over, causing severe injuries. The car driver was distracted by his cell phone and received a careless driving ticket from the police. The woman filed a claim for damages, asserting that the car driver was negligent per se. She claimed that a finding of negligence per se prevented the driver from asserting comparative negligence under a state statute. Will the trial court likely grant the woman's motion to preclude the man's attempted comparative negligence defense?","Yes, because the driver had the last clear chance to avoid the accident, which abrogates the comparative negligence law.","Yes, because negligence per se is a final judgment of total negligence against the driver and it cannot be modified or rebutted.","No, because the common law doctrine of negligence per se does not abrogate the defendant's right to apportion fault under the comparative negligence statute.","No, because she entered the intersection knowing it was a red light, thereby putting herself voluntarily and knowingly in danger, and she assumed the risk.",C
"A plaintiff filed an action in federal district court and served the defendant with the summons and complaint. The defendant moved to dismiss the complaint for failure to state a claim. Instead of opposing the motion to dismiss, the plaintiff voluntarily dismissed the action and filed a new action, alleging the same claims but also addressing the pleading defects outlined in the defendant's motion to dismiss. The defendant then moved to dismiss the second action, and the plaintiff again voluntarily dismissed the second action instead of filing opposition papers. The plaintiff then filed a third action, alleging the same claims but also including additional allegations that were responsive to the defendant's second motion. The defendant has moved to dismiss the third action; the plaintiff opposes the motion. Is the court likely to grant the defendant's motion?","No, because the plaintiff has promptly and diligently attempted to address the pleading defects.","No, because the plaintiff voluntarily dismissed each previous action before the defendant filed an answer or moved for summary judgment.","Yes, because the plaintiff failed to seek a court order dismissing the second action.","Yes, because the plaintiff's previously dismissed actions asserting the same claims dismissed actions asserting the same claims operate as an adjudication on the merits.",D
"A college student and her boyfriend lived together in a one-bedroom apartment in Los Angeles. They were engaged to be married when they purchased an undeveloped parcel of land on a hillside overlooking the Pacific. The deed, which was properly executed and recorded, named the student and the boyfriend as grantees, ""not as tenants in common but as joint tenants with right of survivorship. ""Thereafter, the boyfriend, who was experiencing financial difficulties, offered to sell the property to his co-worker. Without the student's knowledge, the boyfriend executed a deed that purported to convey the hillside property to the co-worker in fee simple. The boyfriend signed his name and forged the student's name. He then delivered the deed of conveyance to the co-worker, who paid the boyfriend $150,000, which was the fair market value of the property. The co-worker immediately recorded the deed received from the boyfriend. The common law joint tenancy is unmodified by statute. Title to the property in question is now in",the boyfriend and the student as joint tenants with right of survivorship.,the co-worker and the student as joint tenants with right of survivorship.,the co-worker and the student as tenants in common.,the co-worker as owner in fee simple.,C
"The Traditional Religion Advocacy Party (TRAP) has successfully lobbied the State of Texarkana for a statute named ""Equal Rights for All Religions."" The law requires broadcasters that air segments discussing Christianity to allow equal time for segments on Judaism, Islam, Hinduism, and Buddhism. The American Atheism Association (AAA) has put together a broadcast segment about atheism, rejecting all religions, but four of the five Texarkana stations have declined to air the segment because they believe it would violate the statute. AAA has filed suit against the state, challenging the constitutionality of the statute. What is the strongest argument AAA can make in support of striking down the Equal Rights for All Religions statute?",The First Amendment prohibits government interference with freedom of the press.,The fact that the statute involves only broadcast media and not print media is an Equal Protection violation.,The First Amendment prohibits government interference with the free exercise of religion.,The statute is not narrowly tailored to promote a compelling governmental interest.,D
"At trial in an action for personal injuries suffered in a traffic accident, the plaintiff first calls the defendant as an adverse party. The plaintiff then calls a witness who was a passenger in the plaintiff's car but who also happens to be the defendant's former employer. On direct examination, the witness testifies to how the accident occurred and also expresses his opinion that the defendant is not a truthful person. Which one of the following areas of questioning is most likely to be held beyond the proper scope of cross-examination?","In letters to prospective employers, the witness has described the defendant as very honest and dependable.",The defendant recently filed an action against the witness for breach of contract.,The plaintiff's injuries were not as serious as the plaintiff is claiming.,The witness has been falsifying his income tax returns.,C
"A man informed the police that he wanted to confess to a murder. After they read him his constitutional rights, he insisted that he was acting voluntarily. He then took them to the scene of the murder where they found the victim's body. By the next day, the man claimed that ""voices"" had ordered him to confess and he didn't act voluntarily. A physician verified that the man suffered from hallucinations that impaired his volitional abilities, preventing a voluntary confession. Will the court suppress the statements?","Yes, he was insane and could not have given a voluntary confession.","Yes, the police overreached by not having him mentally evaluated before questioning him.","No, there was no police misconduct or overreaching, and as a result the confession is voluntary.","No, a confession is admissible when accompanied by actions by the defendant that prove the truth of the statements.",C
Which of the following is false about ex post facto laws?,They make criminal an act that was innocent when committed.,They prescribe greater punishment for an act than was prescribed when it was done.,They increase the evidence required to convict a person than when the act was done.,They alter criminal offenses or punishment in a substantially prejudicial manner for the purpose of punishing a person for some past activity.,C
"An owner sold his home to a purchaser, who moved into the property. The purchaser paid the property taxes but she failed to record the deed. She remained in open possession of the property. The original owner then attempted to sell the property five years later to another purchaser who did not know of the prior conveyance. The second purchaser performed a title search, checking the public records for deeds and saw that title was in the name of his seller. The search included obtaining a standard tax lien certificate, which showed that someone other than the titled owner had been paying the taxes for the past several years. He did not look into who had possession of the property, but went ahead with the closing, paid the purchase price, and recorded a warranty deed in the recorder of deeds office. The first purchaser found out about the sale and quickly recorded her warranty deed, but this was not done until about three months after the second purchaser's deed had already been recorded. The first purchaser also brought a quiet title action to have the court declare that she had superior ownership and title. Which of the two purchasers will win title to the property in a race-notice jurisdiction and why?","The first purchaser wins because the second purchaser had constructive notice from the title search that someone else might be in possession, which triggered a duty to further investigate.",The second purchaser will prevail because he recorded his deed first.,"The first purchaser will prevail because she paid the taxes on the property, and the tax lien certificate was legally treated the same as a recorded deed.",The second purchaser wins because the first purchaser had to record her deed within five years in order to make it legal in a race-notice jurisdiction.,A
"A law student contacted a tutor about the possibility of hiring the tutor to help the law student prepare for his upcoming finals. The tutor sent the law student a copy of the tutor's standard tutorial agreement. The agreement stated that the tutor's rate was $50 per one-hour session. The law student then telephoned the tutor and said, ""This agreement looks fine to me. I'd like you to give me 10 sessions over the next 10 days. "" The tutor replied, That will be fine. Fill in 10 sessions on the agreement, sign it, and bring it to me tomorrow when we have our first session. "" The student then said, ""I want you to really push me to do my best. In fact, if I get an A in any class I'll pay you an additional $100 for each A. ""The next day, the law student brought the signed agreement to the tutorial session. The tutor conducted all 10 sessions. Two weeks later, when the results of the finals were released, the law student excitedly called the tutor and exclaimed, ""Thank you so much I just found out that I received two A's and two B's in my classes!"" The tutor then sent the law student a bill for $700. Two days later the tutor received a check from the law student in the amount of $500. Included with the check was a note which read, ""You taught me contract law very well. I now know that I am not obligated to pay you the additional $200 for the A's, because that was just a gratuitous promise. "" On the back of the check the law student typed the following:""Endorsement of this check by payee constitutes surrender of all claims against me arising out of our tutorial arrangement. ""In need of money, the tutor endorsed and cashed the check. What is the probable legal effect of the tutor's endorsement of the check?",It constituted a discharge of a liquidated claim.,It constituted an accord and satisfaction of an unliquidated claim.,Part payment of a liquidated claim would not constitute a discharge of the entire amount due.,Part payment of an unliquidated claim does not constitute sufficient consideration for the discharge of the entire claim.,B
"A federal statute makes it a crime for anyone to ""knowingly"" use, transfer, acquire, alter, or possess food stamps in any manner not authorized by statute or federal regulations. A restaurant owner purchased food stamps from an undercover federal agent several times for a price below face value. At trial, the judge refused to charge the jury that this was a specific intent crime requiring proof that the defendant knew that he was acting illegally. The government urged that no mens rea, or ""evil-meaning mind"" had to be proved. The court simply told the jury that ""knowingly"" means that the Defendant realized what he was doing, and did not act through ignorance, mistake, or accident. The owner was convicted and appealed. What will the federal appellate court likely decide regarding the lower court's interpretation of the criminal intent required under the statute?","Some statutes are written without the need to prove any particular mens rea, and this statute appears to be one of them, making the court's instructions appropriate.","Where all that is available regarding intent is the use of the word ""knowingly"", the prosecution must at least prove that the defendant knew his conduct to be unauthorized by statute or regulations.",This is a strict liability crime that requires no proof of criminal knowledge or specific criminal intent.,The prosecution must prove that the defendant had specific knowledge of the precise provisions of the federal food stamp law and the specific actions that were prohibited.,B
"An architect is the owner of a large two-story office building. The architect designed and supervised the building's construction. He and his associate occupy the first floor for their architectural business. In June 2005, the architect entered into a valid and binding written lease with a tenant to rent the second floor office space for four years at a monthly rental of $5,000. The lease contained a provision wherein the architect was required to repaint the second floor premises after two years of occupancy. On June 1, 2007, the tenant sent the architect a written letter requesting the repainting of the second-floor office space. The architect made no reply and failed to perform the repainting as the lease required. The cost of repainting the tenant's office was estimated at $1,750. On July 1, 2008, the architect had still not repainted the premises. The following day, the tenant moved out, mailed the keys to the architect, and refused to pay any more rent. The lease was silent as to the rights and remedies of the tenant due to the architect's failure to perform the repainting. There is no applicable statute in the jurisdiction. In an appropriate action by the architect against the tenant for the rent due, the architect will","win, because there was no constructive eviction.","n, because the tenant had the remedy of self-help.","lose, because he cannot maintain an action for rent while in breach of an express covenant.","lose, because the obligation to pay rent is dependent on the architect's performance of his express covenant.",A
"A state imposes a tax on nonresident photographers who operate photographic studios in the state at a rate of 2% of their state-derived income above $12,000. This income tax exempts taxable income earned outside of the state by photographers who live in the state. Moreover, resident-photographers of the state are not taxed on their in-state earned income. A photographer who operates a studio in the state but is a resident of another state, challenges the constitutionality of this tax. Which of the following provisions would furnish the most applicable basis for this constitutional challenge?",The equal protection clause of the Fourteenth Amendment.,The due process clause of the Fourteenth Amendment.,The commerce clause.,The privileges and immunities clause of ArticleIv.,D
Under which of the following situations would the defendant most likely be found guilty of murder?,"A defendant conspired with two other men to rob a store. On the day of the robbery, the three participants drove to the store in a stolen van. In accordance with their plan, the defendant was to wait in the getaway van while the two men conducted their heist. While the two men were inside the store, the defendant decided to renounce his involvement and participation in the scheme and hurriedly drove away in the van. In his haste, the defendant failed to see a pedesthan jaywalking across the street, and struck and killed the pedestrian.","A defendant, accompanied by his girlfriend, was attending his law school graduation party. Both the defendant and his girlfriend became highly intoxicated during the party celebration. As the defendant and his girlfriend were leaving the party, the defendant handed his girlfriend the keys to his automobile and directed her to drive home. While driving, the girlfriend suddenly swerved the car across the median strip into the path of an oncoming car, killing the driver of the other vehicle.","A defendant, whose driver's license had been revoked one week previously, was driving on an infrequently traveled country road one night. Knowing that his car brakes were defective, the defendant was traveling at 35 m. p. h. in a zone in which the speed limit was 25 m. p. h. when a victim suddenly darted in front of his car. In an effort to avoid striking the victim, the defendant applied his brakes to no avail. The car struck and killed the victim.","One afternoon a defendant was delivering pornographic materials to various adult bookstores in the community. In this jurisdiction, the delivery of pornographic materials constituted a misdemeanor. As the defendant was on his way to a book store for his final delivery of the day, he inadvertently struck a blind man who was crossing an intersection. Six months later, the blind man died as a result of injuries suffered in the accident.",A
"Co-defendants were dealers at a casino. They had been employed by the casino for four years. One day, they were unexpectedly fired by the casino's new manager. Apparently, the casino hired the new manager to get rid of some of the old-time employees and replace them with new personnel at a lower wage. Angered by their firing, the codefendants vowed to get back at the casino. As their revenge, they decided to plant a bomb in the casino and demand $1,000,000. After receiving the money, they would then reveal the location of the bomb and provide details for defusing it. The co-defendants agreed that the casino should be given adequate warning so that nobody would be injured. In accordance with their plan, one of the co-defendants, who was an electronics expert, built the bomb himself. He alone then drove to the casino where he placed the bomb in a hallway closet. Shortly thereafter, the other co-defendant phoned the casino and made a demand for the money. He said a bomb was in the casino and that it would explode in 24 hours unless the money was paid. The casino treated their demand as a crank call and refused to make any payment. With their plans having gone awry, the codefendants agreed that one of them should return to the casino and defuse the bomb. As one of the co-defendants was driving back to the casino, the bomb exploded, killing 30 people. A subsequent investigation revealed that a faulty wire caused the bomb to detonate prematurely. A state statute provides that detonating or attempting to detonate a bomb or explosive device in or near a building or dwelling is a felony. If the co-defendants are charged with violating the aforementioned statute, which of the following statements is correct?","Both are guilty, because each participated in the planning of the crime.","The co-defendant who built the bomb is guilty, because he built and transported the bomb, but the other co-defendant is not guilty, because his phone call was not a substantial step in the furtherance of the crime.","Neither is guilty, because the casino's gross negligence in failing to heed the telephone warning constituted an independent intervening cause of the explosion.","Neither is guilty, because they did not intend for anyone to be killed, but the bomb exploded prematurely.",A
"An aspiring actress, whose auditions had not been going well, was forced to pawn her mother's pearls to pay rent and buy food. She finally got good news when her agent told her that she had landed a part in a big movie. Delighted, the actress went down to the pawnshop to retrieve her mother's pearls. When she arrived, the clerk told her that she needed to have cash in order to retrieve the necklace. As she had not been paid yet for the movie, the actress called her agent and told him her dilemma. The agent told her he would come down to the pawnshop and fix everything. When the agent arrived, the actress was still arguing with the clerk. The agent pulled the actress aside and told her that he would distract the clerk while the actress snatched the necklace. The agent then pretended to be interested in an antique lighter, and the actress snatched her necklace off the counter and left the store. The agent is subsequently prosecuted for larceny. The defendant could most appropriately be found","guilty of larceny, but not conspiracy to commit larceny.","guilty of conspiracy to commit larceny, but not larceny.",guilty of both larceny and conspiracy to commit larceny.,not guilty of either larceny or conspiracy to commit larceny.,C
"New York State has a criminal statute making it illegal to knowingly interfere with the operation of government with malicious intent. Corry is a computer hacker, who shut down the New York government's website by infecting it with a virus. The virus entered the electronic mail of users and mailed itself to every address listed in each user's e-mail address book every two hours. The website was crippled for the last week of January. The state passed a law in February clarifying that knowingly infecting the state's internet server with a computer virus met the definition of interference in the statute. During the subsequent criminal trial against Corry in March, the state asked for a jury instruction based on the statutory computer virus clarification. The defense objects to the instruction. How should the state court judge rule?","Reject the instruction, based on ex post facto.",Reject the instruction as a violation of due process.,"Admit the instruction, because the law was passed before the prosecution was initiated.","Admit the instruction, as a bill of attainder.",A
"A woman is engaged in the retail sale of widgets throughout the United States. On March 7, the woman sent the following purchase order to a manufacturer of widgets:""Promptly ship 1,000 widgets, catalogue #B4-IEU, at the current wholesale price to our warehouse. Thank you for your attention to this matter. ""This order was received by the manufacturer on March 9. The next day, the manufacturer replied by fax:""Your order has been received. Shipment date will be March 12. Price $50 for each widget delivered. Be advised that these are the last widgets, under catalogue #B4-IEU, that we can deliver, since this variety is no longer being manufactured. ""Upon receipt of the fax, the woman immediately sent the following fax:""Cancel our previous order for 1,000 widgets under catalogue #B4-IEU. Price too high. ""Assume $50 per widget was the current wholesale market price. Was an enforceable contract in effect between the woman and the manufacturer?","No, because the woman's order was too indefinite to constitute an offer, since it didn't contain a price term.","No, because even if the woman's order was a valid offer, it was effectively revoked prior to acceptance.","Yes, because the woman's order created a valid option contract.","Yes, because the manufacturer's fax of March 10 constituted an acceptance of the woman's offer.",D
"Two brothers who were in need of money approached their wealthy uncle's housekeeper and asked her to poison him. The brothers would inherit the uncle's estate when he died. The housekeeper agreed, but on the condition that they would pay her $10,000 from their inheritance. After the brothers agreed to her demand, the housekeeper decided to place some cyanide in the uncle's tea one morning. As the housekeeper was preparing the tea, the uncle was visited by his personal physician. When the housekeeper was ready to serve the tea, the uncle asked her to fix some tea for his physician also. The housekeeper did so and then carefully set the tea on the table so that the uncle's cup was facing him. However, when the physician reached over to get some sugar, he inadvertently took the uncle's cup with the cyanide and drank it. Seconds later, the physician died from the poison. Which of the following crimes are the brothers guilty of?",Conspiracy to commit murder of their uncle only.,Conspiracy to commit murder of their uncle and the physician.,"Conspiracy to commit murder of their uncle, and murder of the physician.","Solicitation, conspiracy to commit murder of their uncle, and murder of the physician.",C
"During a custody dispute, a court granted the request of the defendant and appointed a clinical pathologist to conduct the blood grouping tests of the child, the complainant, and the defendant. After first stating all of his qualifications at the non-jury trial, the pathologist testified that he and his associates made five separate blood grouping tests and that all proper safeguards were taken to protect the integrity and accuracy of the tests. The pathologist also offered more detailed testimony about the testing procedures and stated that no discrepancies were found in the testing methods. Finally, the pathologist made the statement that the blood grouping tests were conclusive in proving that the defendant could not be the father of the child. If the complainant's attorney makes an objection to the introduction of the blood tests into evidence, the court will most likely","sustain the objection, because the blood tests are not conclusive evidence of paternity.","sustain the objection, because blood tests have not been generally recognized by the scientific community.","overrule the objection, because the court will take judicial notice of the accuracy of such tests.","overrule the objection, because the blood tests are an admission.",C
"Where a client accepts the services of an attorney without an agreement concerning the amount of the fee, there is",An implied-in-fact contract.,An implied-in-law contract.,An express contract.,No contract.,A
"A woman was the fee simple owner of a 20-acre tract of land. When the woman moved to another state, a man took possession of the tract. The man's possession has at all times complied with the requirements of the applicable adverse possession statute in effect. Twelve years after the man took possession, the woman died intestate, leaving her six-year-old son as her only surviving heir. Nine years after the woman's death, when the son was 15, the son's guardian discovered that the man was in possession of the tract. Assume that the statutory period of adverse possession is 20 years and the age of majority is 18. Which of the following correctly describes the state of title to the tract?",The man has acquired title by adverse possession.,"The man will not acquire title unless he continues in adverse possession for an additional three years, or until the son reaches the age of 18.","The man will not acquire title unless he continues in adverse possession for an additional eight years, making a total of 12 years after the woman's death.","The man will not acquire title unless he continues in adverse possession for an additional 12years, or nine years after the son attains the ageof 18.",A
"Immediately after a shooting incident, the police chased one of the shooters into an apartment where he was apprehended and arrested. While in the apartment, a detective noticed some antique furniture that seemed of collectors' quality and was out of place in the squalidly furnished quarters. He moved and turned over the pieces to look for markings and insignia. He called headquarters, and was told that items with those markings and descriptions were stolen from a museum six months earlier. He seized the items and arrested another occupant, who claimed he owned the items, on charges of burglary. That suspect filed a motion to suppress based on there being a warrantless search without probable cause. The police relied on the plain view doctrine. Will the court likely suppress the evidence?","Yes, the evidence will be suppressed because the police can never search a personal residence or seize any unrelated items after entering for exigent circumstances dealing with something else.","No, the evidence was properly seized because the officer had a right to investigate it further once he had properly entered the apartment under exigent circumstances.","No, the evidence was subject to further search and seizure because it was in plain view and the officer had a reasonable suspicion that it was contraband.","Yes, the evidence must be suppressed because the plain view doctrine does not apply where the officer had no probable cause to believe that the observed item was contraband.",D
"A toy collector had purchased 10 antique toys over the last several years and had had them restored by an expert in toy restoration. On June 1, the collector sent the 11th antique toy to the expert with a signed note that read: ""Here is another toy for you to restore. As with all prior jobs, I will pay $500 for the work, but no more."" On June 4, after receipt of the collector's June 1 note and the toy, the expert began restoring the toy. On June 6, the collector unexpectedly died. On June 7, unaware of the collector's death, the expert sent the collector a note that stated that the restoration work had begun on June 4. The following day, the expert learned of the collector's death. Does a contract exist that binds the expert and the collector's estate?","No, because the collector died before the expert sent the June 7 note.","No, because the offer lapsed when the collector died.","Yes, because the expert sent the June 7 note before learning of the collector's death.","Yes, because the offer was accepted before the collector's death.",D
"A buyer contracted with a seller to purchase 10,000 bushels of soybeans at market price. The soybeans were to be delivered in 90 days. Two days after the soybean contract was made, the buyer and the seller entered into another contract under which the buyer agreed to purchase 10,000 bushels of wheat from the seller at market price. Before the time for delivery of the soybeans, the seller notified the buyer that it would not deliver the wheat because the seller's wheat supplier had refused to extend additional credit to the seller and therefore the seller had no wheat available for the buyer. Which of the following statements best describes the effect of the seller's repudiation of the wheat contract on the buyer's rights under the soybean contract?",It gives the buyer the right to demand assurances that the seller will perform the soybean contract.,"It gives the buyer the right to terminate the soybean contract, because of the doctrine of soybean contract, because of the doctrine of dependent covenants.","It gives the buyer the right to terminate the soybean contract, because the buyer does not have to deal with a party that breaches a contract.","It has no effect on the buyer's rights, because the two contracts are entirely separate.",A
"A farm and an orchard are adjoining tracts of land located in a county. In 2006, a farmer purchased the farm, a 10-acre tract, in fee simple absolute. The orchard, a 20-acre tract situated to the north of the farm, was owned by a rancher in fee simple absolute. A remote predecessor of the farmer had granted to a shepherd a way for egress and ingress across the farm under such terms and circumstances that an easement appurtenant to the orchard was created. This right-of-way was executed by deed and properly recorded. The shepherd, however, never made any actual use of the right-of-way. In 2010, the rancher conveyed the orchard to the farmer. The next year, the farmer conveyed the orchard by deed to an investor for a consideration of $250,000, receipt of which was acknowledged. Neither the rancher farmer deed nor the farmer  investor deed contained any reference to the easement for right-of-way. The investor has now claimed that she has a right-of-way across the farm. The farmer, on the other hand, has informed the investor that no such easement exists. Assume that both the farm and the orchard abut a public highway and that ingress and egress are afforded the investor by that highway. In an appropriate action by the investor to determine her right to use the right-of-way across the farm, she should","lose, because the easement was extinguished by merger when the farmer acquired the orchard from the rancher.","lose, because the right-of-way was abandoned inasmuch as there never was any actual use made.","win, because the farmer had constructive notice of the easement.","win, because the investor acquired an easement by implication.",A
